Scientific_Name;Longitude;Latitude
Eremanthus capitatus;-43.04216667;-14.924
Eremanthus capitatus;-41.9;-13.26666667
Eremanthus capitatus;-41.83333333;-13.31666667
Eremanthus capitatus;-41.96666667;-13.28333333
Eremanthus capitatus;-41.85;-13.3
Eremanthus capitatus;-41.81666667;-13.31666667
Eremanthus capitatus;-41.7407394;-13.2782057
Eremanthus capitatus;-41.88946667;-13.28896667
Eremanthus capitatus;-41.90513333;-13.29018333
Eremanthus capitatus;-41.90568333;-13.25895
Eremanthus capitatus;-41.90165;-13.2549
Eremanthus cinctus;-47.5188629;-14.1366085
Eremanthus cinctus;-52.65;-17.81666667
Eremanthus cinctus;-52.6654666;-18.3949038
Eremanthus cinctus;-49.06549570000004;-16.09898129999999
Eremanthus cinctus;-51.1760652;-17.4494387
Eremanthus cinctus;-52.00216667;-18.4375
Eremanthus cinctus;-54.4814404;-16.621352
Eremanthus cinctus;-54.6162947;-20.4640173
Eremanthus cinctus;-49.0836294;-19.6973118
Eremanthus cinctus;-48.9359943;-20.0263764
Eremanthus cinctus;-48.275484;-18.9127534
Eremanthus crotonoides;-43.35;-19.88333333
Eremanthus crotonoides;-43.47366667;-20.08983333
Eremanthus crotonoides;-43.7151032;-19.169193
Eremanthus crotonoides;-43.3798999;-19.2236523
Eremanthus crotonoides;-43.58333333;-19.33333333
Eremanthus crotonoides;-43.45;-20.08333333
Eremanthus crotonoides;-43.4123465;-19.9636006
Eremanthus crotonoides;-44.55383333;-20.75633333
Eremanthus crotonoides;-43.4813186;-19.9409449
Eremanthus crotonoides;-43.3040172;-18.4664928
Eremanthus crotonoides;-43.3487761;-19.3912185
